Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
MCON,Mincon Group Plc,Industrials,Tools & Accessories,EQUITY,,https://www.mincon.com,https://logo.clearbit.com/mincon.com,LSE,MINCON GROUP PLC ORD EUR0.01 (C,Mincon Group plc,gb_market,,216721456,MCON.L,LSE
MCRO,Micro Focus International Plc,Technology,Software—Infrastructure,EQUITY,,https://www.microfocus.com,https://logo.clearbit.com/microfocus.com,LSE,MICRO FOCUS INTERNATIONAL PLC O,Micro Focus International plc,gb_market,,1746212608,MCRO.L,LSE
MCT,Middlefield Canadian Income Pcc,Financial Services,Asset Management,EQUITY,,https://www.middlefield.co.uk/mcit.htm,https://logo.clearbit.com/middlefield.co.uk,LSE,MIDDLEFIELD CANADIAN INCOME PCC,Middlefield Canadian Income PCC - Middlefield Canadian Income - GBP PC,gb_market,,138064016,MCT.L,LSE
MCX,FTSE Mid 250,,,,,,,,,,,,,MCX.L,LSE
MCXI1X,FTSE 250 Daily Short Str,,,INDEX,,,,FSI,FTSE 250 Daily Short Strategy R,,gb_market,,,MCXI1X.L,LSE
MCXI2X,FTSE 250 Daily Super Sho,,,INDEX,,,,FSI,FTSE 250 Daily Super Short Stra,,gb_market,,,MCXI2X.L,LSE
MCXI3X,FTSE 250 Daily Ultra Sho,,,INDEX,,,,FSI,FTSE 250 Daily Ultra Short Stra,,gb_market,,,MCXI3X.L,LSE
MCXL2X,FTSE 250 Daily Leveraged,,,INDEX,,,,FSI,FTSE 250 Daily Leveraged RT TR ,,gb_market,,,MCXL2X.L,LSE
MCXL3X,FTSE 250 Daily Super Lev,,,INDEX,,,,FSI,FTSE 250 Daily Super Leveraged ,,gb_market,,,MCXL3X.L,LSE
MCXL4X,FTSE 250 Daily Ultra Lev,,,INDEX,,,,FSI,FTSE 250 Daily Ultra Leveraged ,,gb_market,,,MCXL4X.L,LSE
MCXNUK,FTSE 250 Net Dividend Index,,,INDEX,,,,FSI,FTSE 250 Net (Lux) Index,,gb_market,,,MCXNUK.L,LSE
MCXNUKEU,FTSE 250 Net Tax EUR Ind,,,INDEX,,,,LSE,,,gb_market,,,MCXNUKEU.L,LSE
MCXSP,FTSE 250 Expiry,,,INDEX,,,,FSI,FTSE 250 EDSP,,gb_market,,,MCXSP.L,LSE
MDBU,UBS ETF,,,ETF,,,,LSE,UBS (LUX) FUND SOLUTIONS UBS ET,UBS(Lux)Fund Solutions – Sustainable Development Bank Bonds UCITS ETF(USD)A-dis,gb_market,UBS Fund Management (Luxembourg) S.A.,,MDBU.L,LSE
MDC,Mediclinic International Plc,Healthcare,Medical Care Facilities,EQUITY,,https://www.mediclinic.com,https://logo.clearbit.com/mediclinic.com,LSE,MEDICLINIC INTERNATIONAL PLC OR,Mediclinic International plc,gb_market,,3628715264,MDC.L,LSE
MDZ,Mediazest Plc,Communication Services,Advertising Agencies,EQUITY,,https://www.mediazest.com,https://logo.clearbit.com/mediazest.com,LSE,MEDIAZEST PLC ORD 0.01P,MediaZest plc,gb_market,,942590,MDZ.L,LSE
MEAL,,Consumer Cyclical,Internet Retail,EQUITY,,https://www.parsleybox.com,https://logo.clearbit.com/parsleybox.com,LSE,PARSLEY BOX GROUP PLC ORD 1P,Parsley Box Group plc,gb_market,,5420842,MEAL.L,LSE
MEGP,,,,EQUITY,,,,LSE,ME GROUP INTERNATIONAL PLC ORD ,ME Group International plc,gb_market,,,MEGP.L,LSE
MEL,Mitsubishi Electric Corporation,Industrials,Electrical Equipment & Parts,EQUITY,,https://www.mitsubishielectric.com/en/index.html,https://logo.clearbit.com/mitsubishielectric.com,LSE,MITSUBISHI ELECTRIC CORPORATION,Mitsubishi Electric Corporation,gb_market,,2836503986176,MEL.L,LSE
MER,Mears Group Plc,Consumer Cyclical,Personal Services,EQUITY,,https://www.mearsgroup.co.uk,https://logo.clearbit.com/mearsgroup.co.uk,LSE,MEARS GROUP PLC ORD 1P,Mears Group plc,gb_market,,211870576,MER.L,LSE
MERC,Mercia Asset Management Plc,Financial Services,Asset Management,EQUITY,,https://www.mercia.co.uk,https://logo.clearbit.com/mercia.co.uk,LSE,MERCIA ASSET MANAGEMENT PLC ORD,Mercia Asset Management PLC,gb_market,,115088760,MERC.L,LSE
MESG,Multi Units Luxembourg,,,ETF,,,,LSE,MULTI UNITS LUXEMBOURG LYXOR MS,Lyxor MSCI EM ESG Leaders Extra UCITS ETF,gb_market,Amundi Asset Management,,MESG.L,LSE
META,Boost Issuer Public Limited Company,,,EQUITY,,,,LSE,WISDOMTREE MULTI ASSET ISSUER P,WisdomTree Industrial Metals Enhanced,gb_market,,,META.L,LSE
METP,Metric Property Investments Plc,,,ETF,,,,LSE,HANETF ICAV ETC GROUP GLOBAL ME,ETC Group Global Metaverse UCITS ETF,gb_market,HANetf Management Limited,,METP.L,LSE
MEUD,Lyxor Index Fund,,,ETF,,,,LSE,LYXOR INDEX FUND LYXOR CORE STO,Lyxor Core STOXX Europe 600 (DR) - UCITS ETF Acc,gb_market,Lyxor International Asset Management S.A.S.,,MEUD.L,LSE
MEUG,Lyxor International Asse,,,ETF,,,,LSE,MULTI UNITS FRANCE LYXOR MSCI E,Lyxor MSCI Europe (DR) UCITS ETF,gb_market,Amundi Asset Management,,MEUG.L,LSE
MEX,,Consumer Cyclical,Restaurants,EQUITY,,https://www.tortilla.co.uk,https://logo.clearbit.com/tortilla.co.uk,LSE,TORTILLA MEXICAN GRILL PLC ORD ,Tortilla Mexican Grill plc,gb_market,,64723532,MEX.L,LSE
MFDD,Lyxor Index Fund,,,ETF,,,,LSE,LYXOR INDEX FUND LYXOR CORE EUR,Lyxor MSCI EMU ESG (DR) - UCITS ETF,gb_market,Lyxor International Asset Management S.A.S.,,MFDD.L,LSE
MFX,Manx Financial Group Plc,Financial Services,Banks—Regional,EQUITY,,https://www.mfg.im,https://logo.clearbit.com/mfg.im,LSE,MANX FINANCIAL GROUP PLC ORD NP,Manx Financial Group PLC,gb_market,,10732019,MFX.L,LSE
MGAM,Morgan Crucible CO Plc,Industrials,Specialty Industrial Machinery,EQUITY,,https://www.morganadvancedmaterials.com,https://logo.clearbit.com/morganadvancedmaterials.com,LSE,MORGAN ADVANCED MATERIALS PLC O,Morgan Advanced Materials plc,gb_market,,662058368,MGAM.L,LSE
MGCI,M&G Credit Income Investment Trust Plc,Financial Services,Asset Management,EQUITY,,https://www.mandg.co.uk/adviser/funds/credit-income-investment-trust/gb00bfyyl325/,https://logo.clearbit.com/mandg.co.uk,LSE,M&G CREDIT INCOME INVESTMENT TR,M&G Credit Income Investment Trust plc,gb_market,,130952056,MGCI.L,LSE
MGGT,Meggitt Plc,Industrials,Aerospace & Defense,EQUITY,,https://www.meggitt.com,https://logo.clearbit.com/meggitt.com,LSE,MEGGITT PLC ORD 5P,Meggitt PLC,gb_market,,6246655488,MGGT.L,LSE
MGNS,Morgan Sindall Group Plc,Industrials,Engineering & Construction,EQUITY,,https://www.morgansindall.com,https://logo.clearbit.com/morgansindall.com,LSE,MORGAN SINDALL GROUP PLC ORD 5P,Morgan Sindall Group plc,gb_market,,703942144,MGNS.L,LSE
MGP,Medica Group Plc,Healthcare,Medical Devices,EQUITY,,https://www.medicagroup.co.uk,https://logo.clearbit.com/medicagroup.co.uk,LSE,MEDICA GROUP PLC ORD 0.2P,Medica Group Plc,gb_market,,165279152,MGP.L,LSE
MHC,,Healthcare,Medical Devices,EQUITY,,https://myhealthcheckedplc.com,https://logo.clearbit.com/myhealthcheckedplc.com,LSE,MYHEALTHCHECKED PLC ORD 0.1P,MyHealthChecked PLC,gb_market,,13231558,MHC.L,LSE
MHID,Mahindra & Mahindra Limi,,,MUTUALFUND,,,,YHD,,Mahindra & Mahindra Limited,us_market,,,MHID.L,LSE
