date,open,high,low,close,volume,average,barCount
2025-09-26 13:12:00-04:00,256.66,256.77,256.63,256.74,68828.0,256.703,291
2025-09-26 13:13:00-04:00,256.75,256.88,256.72,256.86,85673.0,256.819,470
2025-09-26 13:14:00-04:00,256.86,256.98,256.86,256.9,105492.0,256.926,549
2025-09-26 13:15:00-04:00,256.9,256.96,256.76,256.83,57965.0,256.861,306
2025-09-26 13:16:00-04:00,256.84,256.84,256.62,256.66,62733.0,256.723,269
2025-09-26 13:17:00-04:00,256.65,256.66,256.54,256.61,37301.0,256.592,213
2025-09-26 13:18:00-04:00,256.61,256.62,256.55,256.56,25472.0,256.588,131
2025-09-26 13:19:00-04:00,256.56,256.65,256.49,256.65,38238.0,256.582,204
2025-09-26 13:20:00-04:00,256.66,256.66,256.52,256.56,53509.0,256.579,365
2025-09-26 13:21:00-04:00,256.57,256.59,256.48,256.52,38132.0,256.522,220
2025-09-26 13:22:00-04:00,256.52,256.53,256.44,256.49,28947.0,256.496,150
2025-09-26 13:23:00-04:00,256.49,256.54,256.48,256.5,34866.0,256.498,218
2025-09-26 13:24:00-04:00,256.51,256.52,256.38,256.42,24325.0,256.433,156
2025-09-26 13:25:00-04:00,256.43,256.5,256.42,256.43,53405.0,256.456,360
2025-09-26 13:26:00-04:00,256.48,256.56,256.45,256.54,17312.0,256.495,121
2025-09-26 13:27:00-04:00,256.53,256.55,256.49,256.52,23860.0,256.519,146
2025-09-26 13:28:00-04:00,256.52,256.6,256.51,256.56,35857.0,256.545,188
2025-09-26 13:29:00-04:00,256.55,256.57,256.51,256.52,19807.0,256.54,150
2025-09-26 13:30:00-04:00,256.52,256.55,256.48,256.52,32902.0,256.501,146
2025-09-26 13:31:00-04:00,256.51,256.52,256.36,256.45,28751.0,256.441,164
2025-09-26 13:32:00-04:00,256.45,256.45,256.34,256.39,27298.0,256.394,149
2025-09-26 13:33:00-04:00,256.38,256.42,256.36,256.38,23057.0,256.379,92
2025-09-26 13:34:00-04:00,256.39,256.39,256.32,256.36,34163.0,256.355,166
2025-09-26 13:35:00-04:00,256.36,256.4,256.32,256.36,28689.0,256.35,189
2025-09-26 13:36:00-04:00,256.36,256.47,256.35,256.46,29365.0,256.386,110
2025-09-26 13:37:00-04:00,256.45,256.46,256.36,256.4,23356.0,256.415,134
2025-09-26 13:38:00-04:00,256.39,256.42,256.27,256.28,37431.0,256.364,171
2025-09-26 13:39:00-04:00,256.28,257.6,256.27,256.63,244351.0,256.797,1632
2025-09-26 13:40:00-04:00,256.63,257.11,256.57,256.73,176613.0,256.79,1062
2025-09-26 13:41:00-04:00,256.69,256.73,256.49,256.59,84513.0,256.59,386
2025-09-26 13:42:00-04:00,256.61,256.65,256.45,256.55,66326.0,256.546,283
2025-09-26 13:43:00-04:00,256.56,256.74,256.54,256.65,65182.0,256.626,372
2025-09-26 13:44:00-04:00,256.63,256.81,256.52,256.74,83434.0,256.666,467
2025-09-26 13:45:00-04:00,256.75,256.81,256.55,256.64,55441.0,256.711,312
2025-09-26 13:46:00-04:00,256.63,256.69,256.57,256.63,47513.0,256.634,245
2025-09-26 13:47:00-04:00,256.67,256.71,256.48,256.51,50437.0,256.587,265
2025-09-26 13:48:00-04:00,256.51,256.63,256.51,256.59,28502.0,256.572,172
2025-09-26 13:49:00-04:00,256.61,256.65,256.43,256.47,44304.0,256.537,227
2025-09-26 13:50:00-04:00,256.46,256.46,256.28,256.33,36916.0,256.363,218
2025-09-26 13:51:00-04:00,256.32,256.33,256.1,256.11,48430.0,256.194,301
2025-09-26 13:52:00-04:00,256.11,256.18,256.1,256.14,29365.0,256.144,213
2025-09-26 13:53:00-04:00,256.14,256.15,256.06,256.08,49117.0,256.096,295
2025-09-26 13:54:00-04:00,256.07,256.08,255.89,255.89,68429.0,255.981,364
2025-09-26 13:55:00-04:00,255.91,256.04,255.86,255.93,63389.0,255.954,318
2025-09-26 13:56:00-04:00,255.93,255.97,255.88,255.96,37603.0,255.925,229
2025-09-26 13:57:00-04:00,255.96,256.24,255.96,256.17,57135.0,256.113,324
2025-09-26 13:58:00-04:00,256.19,256.2,256.05,256.19,31404.0,256.132,175
2025-09-26 13:59:00-04:00,256.19,256.23,256.1,256.1,24997.0,256.159,146
2025-09-26 14:00:00-04:00,256.09,256.23,256.04,256.22,17465.0,256.138,130
2025-09-26 14:01:00-04:00,256.22,256.28,256.15,256.19,25630.0,256.214,166
2025-09-26 14:02:00-04:00,256.19,256.34,256.18,256.21,47182.0,256.27,288
2025-09-26 14:03:00-04:00,256.23,256.25,256.17,256.22,27006.0,256.211,226
2025-09-26 14:04:00-04:00,256.22,256.4,256.22,256.38,52910.0,256.319,331
2025-09-26 14:05:00-04:00,256.38,256.45,256.18,256.2,57028.0,256.334,358
2025-09-26 14:06:00-04:00,256.21,256.3,256.16,256.19,38413.0,256.226,251
2025-09-26 14:07:00-04:00,256.2,256.34,256.2,256.23,28672.0,256.263,173
2025-09-26 14:08:00-04:00,256.24,256.3,256.17,256.24,38102.0,256.235,238
2025-09-26 14:09:00-04:00,256.24,256.28,256.2,256.26,15652.0,256.235,126
2025-09-26 14:10:00-04:00,256.26,256.35,256.24,256.26,28072.0,256.298,205
2025-09-26 14:11:00-04:00,256.28,256.32,256.22,256.31,28574.0,256.265,188
2025-09-26 14:12:00-04:00,256.31,256.42,256.31,256.38,41225.0,256.37,263
2025-09-26 14:13:00-04:00,256.39,256.42,256.34,256.35,29345.0,256.38,173
2025-09-26 14:14:00-04:00,256.35,256.4,256.25,256.38,22789.0,256.332,169
2025-09-26 14:15:00-04:00,256.39,256.55,256.39,256.51,51444.0,256.487,306
2025-09-26 14:16:00-04:00,256.5,256.59,256.45,256.58,58678.0,256.522,381
2025-09-26 14:17:00-04:00,256.59,256.62,256.42,256.56,53990.0,256.534,317
2025-09-26 14:18:00-04:00,256.58,256.66,256.56,256.64,30835.0,256.612,256
2025-09-26 14:19:00-04:00,256.65,256.71,256.63,256.67,74387.0,256.673,303
2025-09-26 14:20:00-04:00,256.66,256.67,256.58,256.58,37299.0,256.631,205
2025-09-26 14:21:00-04:00,256.57,256.64,256.52,256.59,30308.0,256.576,182
2025-09-26 14:22:00-04:00,256.59,256.61,256.51,256.56,20267.0,256.565,150
2025-09-26 14:23:00-04:00,256.56,256.66,256.56,256.63,28175.0,256.623,205
2025-09-26 14:24:00-04:00,256.62,256.77,256.62,256.76,34268.0,256.693,212
2025-09-26 14:25:00-04:00,256.77,256.78,256.55,256.64,107909.0,256.681,577
2025-09-26 14:26:00-04:00,256.67,256.75,256.64,256.68,44933.0,256.703,220
2025-09-26 14:27:00-04:00,256.67,256.72,256.61,256.66,27323.0,256.665,200
2025-09-26 14:28:00-04:00,256.65,256.65,256.53,256.55,28690.0,256.6,157
2025-09-26 14:29:00-04:00,256.56,256.59,256.54,256.56,45479.0,256.563,304
2025-09-26 14:30:00-04:00,256.56,256.62,256.55,256.55,36197.0,256.576,277
2025-09-26 14:31:00-04:00,256.55,256.56,256.36,256.4,49244.0,256.441,338
2025-09-26 14:32:00-04:00,256.38,256.46,256.35,256.39,28479.0,256.408,192
2025-09-26 14:33:00-04:00,256.4,256.44,256.39,256.43,17392.0,256.418,103
2025-09-26 14:34:00-04:00,256.45,256.47,256.41,256.45,19163.0,256.442,143
2025-09-26 14:35:00-04:00,256.44,256.55,256.41,256.53,27954.0,256.504,172
2025-09-26 14:36:00-04:00,256.55,256.61,256.5,256.52,28647.0,256.549,162
2025-09-26 14:37:00-04:00,256.52,256.69,256.52,256.65,25635.0,256.597,157
2025-09-26 14:38:00-04:00,256.63,256.7,256.62,256.69,29756.0,256.663,145
2025-09-26 14:39:00-04:00,256.7,256.73,256.64,256.64,33399.0,256.689,206
2025-09-26 14:40:00-04:00,256.64,256.67,256.52,256.52,35391.0,256.618,214
2025-09-26 14:41:00-04:00,256.52,256.59,256.5,256.57,37709.0,256.54,224
2025-09-26 14:42:00-04:00,256.59,256.6,256.45,256.46,25420.0,256.524,130
2025-09-26 14:43:00-04:00,256.46,256.53,256.41,256.43,27750.0,256.482,150
2025-09-26 14:44:00-04:00,256.43,256.44,256.31,256.32,34224.0,256.369,220
2025-09-26 14:45:00-04:00,256.33,256.34,256.14,256.18,42694.0,256.242,303
2025-09-26 14:46:00-04:00,256.17,256.18,255.96,255.97,43444.0,256.069,276
2025-09-26 14:47:00-04:00,255.98,256.17,255.97,256.16,32943.0,256.083,197
2025-09-26 14:48:00-04:00,256.16,256.21,256.13,256.2,28261.0,256.166,169
2025-09-26 14:49:00-04:00,256.2,256.26,256.17,256.22,25641.0,256.211,135
2025-09-26 14:50:00-04:00,256.23,256.23,256.1,256.15,21960.0,256.134,140
2025-09-26 14:51:00-04:00,256.15,256.17,256.05,256.16,25369.0,256.101,150
2025-09-26 14:52:00-04:00,256.15,256.17,256.08,256.14,17385.0,256.125,135
2025-09-26 14:53:00-04:00,256.15,256.21,256.11,256.15,28901.0,256.157,181
2025-09-26 14:54:00-04:00,256.15,256.22,256.12,256.19,24315.0,256.182,140
2025-09-26 14:55:00-04:00,256.19,256.25,256.17,256.23,37126.0,256.212,206
2025-09-26 14:56:00-04:00,256.23,256.34,256.19,256.32,24565.0,256.275,158
2025-09-26 14:57:00-04:00,256.32,256.34,256.24,256.3,26886.0,256.294,163
2025-09-26 14:58:00-04:00,256.3,256.31,256.25,256.28,25862.0,256.277,113
2025-09-26 14:59:00-04:00,256.28,256.28,256.15,256.2,29753.0,256.212,157
2025-09-26 15:00:00-04:00,256.2,256.22,256.11,256.13,17994.0,256.171,133
2025-09-26 15:01:00-04:00,256.13,256.17,256.03,256.06,30321.0,256.095,206
2025-09-26 15:02:00-04:00,256.06,256.09,256.02,256.07,35568.0,256.05,232
2025-09-26 15:03:00-04:00,256.07,256.12,256.05,256.11,29055.0,256.085,172
2025-09-26 15:04:00-04:00,256.12,256.14,256.03,256.05,48736.0,256.078,277
2025-09-26 15:05:00-04:00,256.05,256.18,256.04,256.15,41135.0,256.102,280
2025-09-26 15:06:00-04:00,256.15,256.16,255.91,255.92,64247.0,256.018,272
2025-09-26 15:07:00-04:00,255.91,255.93,255.82,255.86,33474.0,255.871,216
2025-09-26 15:08:00-04:00,255.86,255.88,255.79,255.79,39329.0,255.828,267
2025-09-26 15:09:00-04:00,255.79,255.81,255.71,255.76,48413.0,255.757,355
2025-09-26 15:10:00-04:00,255.75,255.79,255.69,255.75,41424.0,255.74,213
2025-09-26 15:11:00-04:00,255.75,255.8,255.7,255.75,35016.0,255.753,191
2025-09-26 15:12:00-04:00,255.76,255.77,255.68,255.7,21575.0,255.716,133
2025-09-26 15:13:00-04:00,255.7,255.7,255.62,255.66,50757.0,255.663,267
2025-09-26 15:14:00-04:00,255.67,255.69,255.52,255.53,46911.0,255.6,259
2025-09-26 15:15:00-04:00,255.53,255.57,255.49,255.55,61413.0,255.527,281
2025-09-26 15:16:00-04:00,255.55,255.64,255.54,255.59,42461.0,255.595,293
2025-09-26 15:17:00-04:00,255.59,255.69,255.58,255.64,30832.0,255.631,187
2025-09-26 15:18:00-04:00,255.65,255.7,255.6,255.67,48375.0,255.652,265
2025-09-26 15:19:00-04:00,255.67,255.69,255.62,255.65,48092.0,255.655,259
2025-09-26 15:20:00-04:00,255.64,255.67,255.6,255.64,30656.0,255.635,130
2025-09-26 15:21:00-04:00,255.65,255.66,255.56,255.65,42743.0,255.609,311
2025-09-26 15:22:00-04:00,255.65,255.69,255.62,255.63,31123.0,255.657,166
2025-09-26 15:23:00-04:00,255.63,255.7,255.63,255.69,27535.0,255.675,203
2025-09-26 15:24:00-04:00,255.69,255.71,255.58,255.59,33005.0,255.641,205
2025-09-26 15:25:00-04:00,255.59,255.66,255.56,255.65,31200.0,255.616,185
2025-09-26 15:26:00-04:00,255.66,255.83,255.66,255.78,72184.0,255.726,348
2025-09-26 15:27:00-04:00,255.77,255.77,255.68,255.72,34967.0,255.723,179
2025-09-26 15:28:00-04:00,255.71,255.79,255.71,255.73,31464.0,255.76,158
2025-09-26 15:29:00-04:00,255.72,255.72,255.63,255.65,23767.0,255.666,159
2025-09-26 15:30:00-04:00,255.64,255.65,255.43,255.46,92120.0,255.537,582
2025-09-26 15:31:00-04:00,255.45,255.48,255.31,255.34,78138.0,255.423,461
2025-09-26 15:32:00-04:00,255.35,255.36,255.28,255.33,69677.0,255.318,435
2025-09-26 15:33:00-04:00,255.33,255.35,255.27,255.32,31493.0,255.312,229
2025-09-26 15:34:00-04:00,255.32,255.38,255.2,255.21,86911.0,255.293,416
2025-09-26 15:35:00-04:00,255.22,255.27,255.11,255.11,71945.0,255.198,413
2025-09-26 15:36:00-04:00,255.12,255.14,255.04,255.06,72259.0,255.083,392
2025-09-26 15:37:00-04:00,255.06,255.18,254.98,255.16,110922.0,255.075,598
2025-09-26 15:38:00-04:00,255.17,255.21,255.07,255.11,38207.0,255.148,268
2025-09-26 15:39:00-04:00,255.11,255.15,255.07,255.12,47251.0,255.116,320
2025-09-26 15:40:00-04:00,255.12,255.16,255.05,255.08,51860.0,255.105,361
2025-09-26 15:41:00-04:00,255.08,255.08,254.96,254.99,118757.0,255.004,559
2025-09-26 15:42:00-04:00,254.99,255.17,254.98,255.16,41644.0,255.077,277
2025-09-26 15:43:00-04:00,255.17,255.21,255.13,255.16,56819.0,255.18,408
2025-09-26 15:44:00-04:00,255.16,255.24,255.11,255.17,61596.0,255.173,367
2025-09-26 15:45:00-04:00,255.17,255.2,255.11,255.14,36521.0,255.145,201
2025-09-26 15:46:00-04:00,255.15,255.17,255.11,255.16,24432.0,255.141,168
2025-09-26 15:47:00-04:00,255.16,255.21,255.12,255.18,60008.0,255.161,333
2025-09-26 15:48:00-04:00,255.17,255.31,255.14,255.26,76767.0,255.247,514
2025-09-26 15:49:00-04:00,255.26,255.35,255.21,255.3,69434.0,255.283,492
