Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AZTR,Azitra Inc Common Stock,$0.2508,-0.0037,-1.454%,4132270.00,,2023,289897,Health Care,Biotechnology: Pharmaceutical Preparations
BATL,Battalion Oil Corporation Common Stock,$1.41,0.06,4.444%,23203754.00,United States,,112097,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$19.1262,0.1295,0.682%,0.00,United States,1972,24668,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$21.85,0.00,0.00%,,United States,,50,,
BDL,Flanigan's Enterprises Inc. Common Stock,$29.00,0.00,0.00%,53900763.00,United States,1972,309,Consumer Discretionary,Restaurants
BGI,Birks Group Inc. Common Stock,$0.976,0.026,2.737%,18705986.00,Canada,,81348,Consumer Discretionary,Consumer Specialties
BHB,Bar Harbor Bankshares Inc. Common Stock,$32.23,0.75,2.382%,493820421.00,United States,1997,36794,Finance,Major Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,$12.74,0.03,0.236%,51876031.00,,2022,2705,Real Estate,Real Estate Investment Trusts
BKTI,BK Technologies Corporation Common Stock,$50.24,1.75,3.609%,184561363.00,United States,,29164,Technology,Radio And Television Broadcasting And Communications Equipment
BMNR,BitMine Immersion Technologies Inc. Common Stock,$135.00,76.50,130.769%,780997950.00,,2025,37559852,Finance,Finance: Consumer Services
BQ,Boqii Holding Limited American Depositary Shares (each representing one hundred fifty (150) Class A Ordinary Shares),$2.29,0.0799,3.615%,2453804.00,,,3511,Consumer Discretionary,Other Specialty Stores
BRBS,Blue Ridge Bankshares Inc. Common Stock,$3.59,0.08,2.279%,327328478.00,United States,,283845,Finance,Major Banks
BRIA,BrilliA Inc Class A Ordinary Shares,$2.4947,0.00,0.00%,76400188.00,,2024,751,Consumer Discretionary,Apparel
BRN,Barnwell Industries Inc. Common Stock,$1.15,0.02,1.77%,11561564.00,United States,1965,12288,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$3.66,0.00,0.00%,4836224594.00,Canada,,32703011,Basic Materials,Precious Metals
BURU,Nuburu Inc. Common Stock,$0.3612,-0.0383,-9.587%,18942537.00,United States,,7004446,Miscellaneous,Industrial Machinery/Components
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$1.02,-0.01,-0.971%,10560150.00,Israel,,67857,Health Care,Biotechnology: Pharmaceutical Preparations
CATX,Perspective Therapeutics Inc. Common Stock,$3.68,0.29,8.555%,273160269.00,United States,,511203,Health Care,Medical/Dental Instruments
CCEL,Cryo-Cell International Inc. Common Stock,$5.05,-0.049,-0.961%,40814903.00,United States,2022,6885,Health Care,Misc Health and Biotechnology Services
CET,Central Securities Corporation Common Stock,$48.30,0.101,0.21%,11689817160.00,United States,1951,7352,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$9.71,-0.01,-0.103%,68296013.00,United States,1999,29124,Finance,Finance/Investors Services
CHEB,Chenghe Acquisition II Co. Class A Ordinary Shares,$9.50,-0.08,-0.835%,0.00,,2024,3950,,
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$2.97,-0.015,-0.503%,0.00,United States,,261002,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$26.39,0.81,3.167%,325086719.00,United States,1998,2459,Consumer Discretionary,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$10.90,0.07,0.646%,22379106.00,United States,2003,643,Energy,Oil & Gas Production
CLDI,Calidi Biotherapeutics Inc. Common Stock,$0.2458,0.0119,5.088%,7814616.00,,2021,551055,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLM,Cornerstone Strategic Investment Fund Inc. Common Shares,$8.24,0.10,1.229%,0.00,United States,2003,943866,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$21.49,0.59,2.823%,414644908.00,Canada,,93328,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$17.30,0.06,0.348%,155562206.00,United States,1996,14740,Industrials,Plastic Products
CNL,Collective Mining Ltd. Common Shares,$11.885,0.215,1.842%,1008410862.00,,2024,30849,,
COE,51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares,$27.47,-2.73,-9.04%,160959778.00,China,2016,32197,Real Estate,Other Consumer Services
COHN,Cohen & Company Inc.,$10.085,-0.035,-0.346%,20721387.00,United States,,9236,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$1.84,0.095,5.444%,6002084.00,China,,20953,Health Care,Biotechnology: Pharmaceutical Preparations
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$7.93,0.11,1.407%,0.00,United States,2003,431115,Finance,Finance/Investors Services
CTGO,Contango ORE Inc. Common Stock,$19.65,-0.45,-2.239%,246676039.00,United States,2021,25459,Basic Materials,Precious Metals
CTM,Castellum Inc. Common Stock,$1.11,-0.02,-1.77%,95500930.00,,2022,929308,Consumer Discretionary,Professional Services
CVM,Cel-Sci Corporation Common Stock,$2.49,-0.03,-1.19%,7556092.00,United States,1997,192158,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$12.50,0.30,2.459%,12076650.00,United States,1930,12768,Industrials,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$3.35,0.08,2.446%,43550241.00,United States,2022,19364,Industrials,Military/Government/Technical
CYBN,Cybin Inc. Common Shares,$7.94,0.56,7.588%,158735765.00,Canada,,442098,Health Care,Biotechnology: Pharmaceutical Preparations
DC,Dakota Gold Corp. Common Stock,$3.78,0.01,0.265%,422941977.00,United States,2022,251073,Basic Materials,Metal Mining
DDC,DDC Enterprise Limited Class A Ordinary Shares,$12.00,0.10,0.84%,48601788.00,,2023,64596,Consumer Staples,Packaged Foods
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.15,0.01,0.467%,0.00,United States,1998,165410,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$115.50,-0.50,-0.431%,74550861.00,United States,1999,1339,Consumer Discretionary,Food Distributors
DMYY,dMY Squared Technology Group Inc. Class A Common Stock,$13.05,-0.15,-1.136%,0.00,,2022,7532,Finance,Blank Checks
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.82,0.01,0.552%,1631347065.00,Canada,,45244737,Basic Materials,Other Metals and Minerals
DSS,DSS Inc. Common Stock,$0.8902,0.0001,0.011%,8094160.00,United States,,1818,Consumer Discretionary,Containers/Packaging
DVS,Dolly Varden Silver Corporation Common Shares,$3.51,-0.05,-1.404%,279459345.00,,2025,261097,,
DXF,Eason Technology Limited American Depositary Shares (each representing sixty-thousand (60000) Ordinary Shares),$5.2604,0.1104,2.144%,1312280.00,,,28481,Finance,Finance: Consumer Services
EAD,Allspring Income Opportunities Fund Common Shares,$7.12,-0.04,-0.559%,0.00,United States,2003,67738,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$10.29,0.035,0.341%,0.00,United States,1986,33122,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$21.6979,0.1779,0.827%,,United States,,666,,
EGG,Enigmatig Limited Class A Ordinary Shares,$5.68,1.98,53.514%,163300000.00,,2025,8831691,Consumer Discretionary,Professional Services
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.65,0.00,0.00%,0.00,United States,2002,68752,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$6.08,-0.09,-1.459%,158050822.00,United States,,9620,Consumer Discretionary,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$17.53,0.00,0.00%,225305815.00,Israel,,49,Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$20.78,0.46,2.264%,174263470.00,United States,2011,75091,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMX,EMX Royalty Corporation Common Shares (Canada),$2.75,0.10,3.774%,296978877.00,Canada,,355139,Basic Materials,Metal Mining
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.33,-0.016,-0.171%,0.00,United States,2002,36682,Finance,Finance/Investors Services
